source_id,site_id,market_type,name,district,market_committee,state,latitude,longitude,coords_usable,coord_flags,storage_godowns,storage_capacity,shops,opens,closes,raw_lat,raw_lon,image_url,source_url,retrieved_on
us-128,103,Uzhavar Santhai,Veppanthattai,Perambalur,,Tamil Nadu,11.332761,78.821068,True,ok,,,20,5:00 AM,12:00 PM,11.332761,78.821068,http://www.agrimark.tn.gov.in/MRS/uploads/us/103.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-129,169,Uzhavar Santhai,Ariyalur,Ariyalur,,Tamil Nadu,11.131657,79.078843,True,ok,,,50,5:00 AM,12:00 PM,11.131657,79.078843,http://www.agrimark.tn.gov.in/MRS/uploads/us/169.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-130,170,Uzhavar Santhai,Jeyankondam,Ariyalur,,Tamil Nadu,11.21123,79.353007,True,ok,,,20,5:00 AM,12:00 PM,11.211230,79.353007,http://www.agrimark.tn.gov.in/MRS/uploads/us/170.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-131,4,Uzhavar Santhai,Medavakkam,Chengalpattu,,Tamil Nadu,12.91728,80.19497,True,ok,,,24,6:00 AM,2:00 PM,12.91728,80.19497,http://www.agrimark.tn.gov.in/MRS/uploads/us/4.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-132,5,Uzhavar Santhai,Nanganallur,Chengalpattu,,Tamil Nadu,12.97749,80.18128,True,ok,,,20,6:00 AM,2:00 PM,12.97749,80.18128,http://www.agrimark.tn.gov.in/MRS/uploads/us/5.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-133,6,Uzhavar Santhai,Madhuranthagam,Chengalpattu,,Tamil Nadu,12.50455,79.88973,True,ok,,,24,6:00 AM,2:00 PM,12.50455,79.88973,http://www.agrimark.tn.gov.in/MRS/uploads/us/6.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-134,7,Uzhavar Santhai,Keelkattalai,Chengalpattu,,Tamil Nadu,12.95658,80.1817,True,ok,,,12,6:00 AM,2:00 PM,12.95658,80.1817,http://www.agrimark.tn.gov.in/MRS/uploads/us/7.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-135,8,Uzhavar Santhai,Jameenrayapettai,Chengalpattu,,Tamil Nadu,12.94876,80.15305,True,ok,,,23,6:00 AM,2:00 PM,12.94876,80.15305,http://www.agrimark.tn.gov.in/MRS/uploads/us/8.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-136,9,Uzhavar Santhai,Guduvancheri,Chengalpattu,,Tamil Nadu,12.846854,80.063111,True,ok,,,20,6:00 AM,2:00 PM,12.846854,80.063111,http://www.agrimark.tn.gov.in/MRS/uploads/us/9.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-137,10,Uzhavar Santhai,Padappai,Kancheepuram,,Tamil Nadu,12.88703,80.02183,True,ok,,,24,6:00 AM,2:00 PM,12.88703,80.02183,http://www.agrimark.tn.gov.in/MRS/uploads/us/10.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
